name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
24x7 Detectivez,<,4.2,79 Ratings,"Road Rajajinagar 2nd Stage, Bangalore",,09980152590,Detective Agencies; Detective Agencies For Background Verification,true,true,false,true,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.987Z
Rajdhani Detective Agencies,<,4.9,497 Ratings,"4th A Main Road Vijayanagar, Bangalore",,,Security Services For Guard; Security Services,true,true,false,false,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.987Z
Ic Intelligence Detective Services,<,5.0,4 Ratings,"Feet Road Gandhipuram Coimbatore, Coimbatore",,,Detective Agencies; Detective Agencies For Pre Matrimonial Verification,true,true,false,false,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.987Z
Lifeline Detective Agency Pvt Ltd,<,5.0,434 Ratings,"6th Avenue Anna Nagar East, Chennai",,07411598621,Detective Agencies; Detective Agencies For Background Verification,true,true,false,false,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.987Z
Walkers Detectives,<,5.0,1 Ratings,"Kr Mohalla, Mysore",,07411667093,Fingerprinting; Fingerprint For Police Verification,true,true,false,false,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.987Z
Eagle Eye Private Detective Agency,<,4.9,73 Ratings,"Highway Service Road APMC Yard, Chitradurga",,08128978253,,true,true,false,false,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.987Z
Bombay Forensic,<,4.1,401 Ratings,"Modi Street Fort, Mumbai",,,,true,true,false,true,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.987Z
S Prime Investigation,<,5.0,12 Ratings,"Jhotwara, Jaipur",,08147128416,Detective Agencies; Detective Agencies For Cyber Crime,true,true,false,true,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
Live Detective Network India,<,4.8,297 Ratings,"Central Spine Vidhyadhar Nagar, Jaipur",,,Registration-Detective agency,true,true,false,true,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
True Detective,<,4.0,76 Ratings,"JAIPUR ROAD Ksg Ajmer Road, Kishangarh",,07411593086,Detective Agencies; Detective Agencies For Extra Marital Affairs,true,true,false,true,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
Mystery Solvers,M,3.2,31 Ratings,"Chowraha Lane Gomti Nagar, Lucknow",,09724918840,Detective Agencies; Detective Agencies For Insurance Claim Verification,true,true,false,false,false,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
Blue Detective Agency,B,3.5,2 Ratings,"Vasant Kunj II Vasant Kunj, Delhi",,08460205615,Detective Agencies; Detective Agencies For Cyber Crime,true,true,false,false,false,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
Shiv Detective Agency,S,4.3,6 Ratings,"Gali No 1 Paschim Vihar, Delhi",,09035280504,Detective Agencies; Detective Agencies For Background Verification,true,true,false,false,false,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
Sunrise Private Detective Agency,+,4.6,262 Ratings,"Road Chandigarh Sector 45c, Chandigarh",,,Detective Agencies; Detective Agencies For Background Verification,true,true,false,false,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
Dhanush Detective Security Services,D,3.0,2 Ratings,"Main Road Narayanapura, Bangalore",,,Bodyguard,true,true,false,false,false,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
Leo Lois Private Investigators,L,4.5,4 Ratings,"Ab Vajpayee Road Kadugodi, Bangalore",,,Detective Agencies,false,true,false,false,false,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
Dynamic Security And Detective Agency,+,4.6,19 Ratings,"Kadugodi, Bangalore",,,Detective Agencies,true,true,false,false,false,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
Dynamic Security & Detective Agency Pvt Ltd,D,4.6,19 Ratings,"Agrahara Kumbena Agrahara, Bangalore",,,Armed Security Services,true,true,false,true,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
Truth And Dare Detective,T,4.5,4 Ratings,"#3Vsr Layout Whitefield, Bangalore",,,Detective Agencies,true,true,false,false,false,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
Truth & Dare Detectives Pvt Ltd,+,4.5,18 Ratings,"Itpl Road Whitefield Main Road, Bangalore",,,Detective Agencies For Corporate; Detective Agencies,true,true,false,false,true,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.988Z
Hire Right,H,3.6,11 Ratings,"Explorer Whitefield, Bangalore",,,Detective Agencies; Detective Agencies For Background Verification,true,true,false,false,false,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.989Z
Pamashree Detective Agency,P,4.0,5 Ratings,"Varthur, Bangalore",,,Detective Agencies,true,true,false,false,false,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.990Z
First Advantage Global Operating Centre,F,3.6,326 Ratings,"Whitefield Main Road, Bangalore",,,Detective Agencies; Detective Agencies For Background Verification,false,true,false,false,false,Security System,Find Professional Detective Agencies,Kolar,2025-06-03T17:57:02.990Z
